outcome,n_pairs,mae,rmse,max_abs_error,mean_error,pearson,spearman
cvd_10y,500,1.690897422079729e-14,2.3775597964475174e-14,7.105427357601002e-14,-1.203537269844901e-15,1.0,1.0
cvd_30y,300,1.8508157969184444e-14,2.420834113301773e-14,4.973799150320701e-14,-6.927791673660977e-16,1.0,1.0
ascvd_10y,500,1.4874657061625386e-14,2.2112358763288223e-14,6.039613253960852e-14,1.3227197115384115e-15,0.9999999999999999,1.0
ascvd_30y,300,1.9242755537144754e-14,2.5134498737324812e-14,5.684341886080802e-14,-7.168339995663094e-16,1.0,1.0
hf_10y,500,1.4536344350446483e-14,2.2070055421205408e-14,7.815970093361102e-14,2.488287353941132e-16,0.9999999999999999,1.0
hf_30y,300,1.8926712049468126e-14,2.4576831503692153e-14,4.973799150320701e-14,-2.9128551422748692e-15,0.9999999999999999,1.0
